geoName,Trump,Clinton
Alabama,59,41
Alaska,67,33
Arizona,61,39
Arkansas,61,39
California,62,38
Colorado,65,35
Connecticut,62,38
Delaware,61,39
District of Columbia,64,36
Florida,62,38
Georgia,60,40
Hawaii,63,37
Idaho,64,36
Illinois,61,39
Indiana,64,36
Iowa,55,45
Kansas,59,41
Kentucky,62,38
Louisiana,60,40
Maine,59,41
Maryland,60,40
Massachusetts,60,40
Michigan,61,39
Minnesota,62,38
Mississippi,53,47
Missouri,62,38
Montana,56,44
Nebraska,60,40
Nevada,64,36
New Hampshire,66,34
New Jersey,62,38
New Mexico,56,44
New York,60,40
North Carolina,59,41
North Dakota,55,45
Ohio,60,40
Oklahoma,59,41
Oregon,65,35
Pennsylvania,60,40
Rhode Island,56,44
South Carolina,59,41
South Dakota,63,37
Tennessee,57,43
Texas,60,40
Utah,60,40
Vermont,70,30
Virginia,62,38
Washington,65,35
West Virginia,62,38
Wisconsin,59,41
Wyoming,59,41
